aX,aY,aZ,gX,gY,gZ
-0.015,-0.986,-0.349,-1.221,-3.113,0.061
-0.015,-0.977,-0.357,-1.465,-2.380,-0.427
-0.013,-0.980,-0.366,-1.587,-1.160,-0.305
-0.009,-0.975,-0.360,-2.075,0.244,0.244
-0.004,-0.975,-0.348,-2.258,1.770,0.732
-0.009,-0.975,-0.338,-1.343,3.479,1.099
-0.013,-0.971,-0.340,-0.488,5.554,1.709
-0.009,-0.968,-0.351,-0.244,6.531,2.380
-0.005,-0.973,-0.351,-0.366,4.517,1.831
-0.005,-0.969,-0.352,-0.732,2.258,0.366
-0.022,-0.961,-0.358,-0.732,0.244,-0.854
-0.020,-0.959,-0.379,-0.488,-1.587,-1.221
-0.016,-0.954,-0.398,-0.488,-3.784,-1.465
-0.024,-0.959,-0.391,-1.465,-5.371,-1.770
-0.021,-0.971,-0.384,-2.625,-4.822,-2.136

0.288,-0.615,1.933,85.449,-4.761,-26.123
0.281,-0.702,2.072,106.689,-2.869,-36.011
0.224,-0.709,2.214,128.723,-3.235,-43.701
0.154,-0.758,2.364,152.893,-12.817,-49.805
0.122,-0.774,2.558,177.551,-19.409,-49.988
0.131,-0.817,2.685,204.895,-16.968,-47.546
0.154,-0.847,2.683,232.361,-14.771,-48.035
0.212,-0.811,2.667,257.629,-22.766,-50.842
0.277,-0.730,2.574,289.062,-39.001,-56.702
0.275,-0.592,2.348,328.003,-51.025,-60.120
0.217,-0.442,2.056,356.506,-63.416,-65.430
0.047,-0.214,1.845,374.390,-75.867,-59.448
0.100,-0.125,1.735,379.822,-83.557,-68.420
0.076,-0.038,1.623,388.123,-88.135,-74.524
0.109,0.116,1.426,394.592,-89.966,-72.571
0.125,0.285,1.139,405.457,-87.158,-58.411
0.163,0.379,0.834,417.908,-83.862,-47.058
0.159,0.426,0.540,424.316,-80.505,-46.082
0.045,0.533,0.302,419.067,-70.068,-45.532
-0.023,0.558,0.055,398.987,-59.326,-44.678
-0.008,0.492,-0.156,373.047,-61.951,-42.297
0.023,0.468,-0.317,347.656,-75.623,-39.001
0.073,0.417,-0.513,327.576,-84.473,-37.720
0.062,0.352,-0.682,306.946,-87.341,-40.039
0.010,0.297,-0.881,286.133,-89.172,-37.842
0.019,0.259,-1.065,264.954,-90.881,-32.898
0.047,0.168,-1.210,239.685,-95.825,-30.579
0.059,0.099,-1.296,213.806,-97.107,-25.085
0.093,-0.019,-1.313,186.890,-89.172,-17.517
0.087,-0.117,-1.334,163.330,-75.928,-10.742
0.095,-0.191,-1.339,144.531,-61.646,-2.014
0.138,-0.200,-1.306,124.878,-51.392,2.808
0.105,-0.229,-1.289,109.131,-48.523,2.136
0.097,-0.284,-1.282,94.299,-50.354,1.221
0.097,-0.297,-1.272,81.726,-52.917,1.648
0.078,-0.354,-1.251,69.397,-50.476,1.343
0.098,-0.389,-1.189,53.772,-50.842,-0.305
0.103,-0.454,-1.151,40.771,-54.932,-2.441
0.113,-0.495,-1.137,29.724,-63.416,-4.150
0.124,-0.518,-1.089,19.104,-71.838,-7.202
0.120,-0.582,-1.047,13.367,-70.496,-8.850
0.108,-0.625,-1.007,11.719,-52.734,-4.944
0.094,-0.647,-0.975,9.949,-28.137,2.441
0.088,-0.651,-0.948,7.812,-6.226,11.108
0.100,-0.692,-0.913,2.258,5.737,16.968
0.106,-0.724,-0.832,-5.310,5.676,16.663
0.096,-0.764,-0.764,-12.085,-0.427,12.207
0.077,-0.795,-0.707,-15.686,-6.470,8.179
0.072,-0.806,-0.687,-16.846,-9.094,7.202
0.053,-0.802,-0.683,-17.273,-7.935,8.911
0.050,-0.820,-0.686,-18.250,-2.380,11.719
0.043,-0.833,-0.662,-20.752,2.136,12.817
0.005,-0.857,-0.614,-24.109,4.700,10.681
0.000,-0.875,-0.559,-25.818,8.179,7.874
-0.012,-0.878,-0.524,-25.024,9.949,4.944
-0.028,-0.887,-0.508,-23.315,8.057,2.747
-0.045,-0.909,-0.489,-22.278,4.333,2.197
-0.035,-0.927,-0.471,-20.569,4.333,2.930
-0.034,-0.936,-0.460,-17.822,6.531,3.662
-0.044,-0.937,-0.460,-15.137,10.803,4.028
-0.054,-0.937,-0.462,-13.794,14.587,3.967
-0.070,-0.926,-0.452,-13.367,15.320,3.357
-0.078,-0.924,-0.445,-13.306,11.719,2.563
-0.086,-0.936,-0.430,-13.245,5.432,3.235
-0.058,-0.954,-0.424,-13.245,3.113,3.784
-0.031,-0.961,-0.431,-10.864,5.432,4.578
-0.013,-0.945,-0.438,-7.568,8.972,4.639
0.003,-0.934,-0.453,-3.540,12.146,3.662
0.010,-0.931,-0.479,-0.488,12.329,1.587
-0.007,-0.908,-0.496,0.122,9.155,-1.221
-0.027,-0.889,-0.545,-1.038,6.348,-4.089
-0.028,-0.881,-0.565,-4.395,2.563,-5.371
-0.045,-0.886,-0.559,-9.338,0.000,-6.348
-0.058,-0.897,-0.536,-12.878,1.282,-6.287
-0.060,-0.903,-0.493,-14.099,6.287,-3.662
-0.057,-0.903,-0.468,-11.169,10.315,-0.977
-0.053,-0.910,-0.475,-5.737,10.376,0.732
-0.049,-0.900,-0.485,-2.502,7.263,0.305
-0.036,-0.912,-0.500,-2.258,1.831,-0.854
-0.050,-0.900,-0.492,-3.784,-4.517,-2.319
-0.061,-0.912,-0.478,-4.578,-8.301,-3.113
-0.060,-0.919,-0.484,-3.906,-7.996,-3.052
-0.073,-0.910,-0.490,-3.845,-5.798,-2.930
-0.082,-0.903,-0.484,-5.859,-4.395,-2.197
-0.076,-0.913,-0.483,-6.775,-5.188,-1.343
-0.068,-0.915,-0.480,-6.531,-5.981,-0.366
-0.054,-0.926,-0.483,-6.226,-3.601,-0.671
-0.046,-0.915,-0.475,-6.165,-1.404,-0.610
-0.048,-0.922,-0.460,-4.639,0.000,-0.122
-0.057,-0.922,-0.465,-2.258,0.854,0.366
-0.062,-0.918,-0.478,-1.343,-0.427,0.610
-0.058,-0.920,-0.484,-1.953,-3.906,0.122
-0.054,-0.920,-0.488,-3.052,-8.118,-1.648
-0.057,-0.911,-0.486,-3.662,-11.475,-3.235
-0.073,-0.921,-0.477,-3.418,-10.986,-2.747
-0.061,-0.912,-0.490,-2.319,-5.493,-1.709
-0.067,-0.905,-0.488,-1.526,-1.282,-0.488
-0.045,-0.905,-0.499,-1.221,1.648,0.122
-0.026,-0.904,-0.500,-1.770,1.648,-0.366
-0.013,-0.900,-0.501,-2.136,-0.305,-1.648
